DATE,USAUCSFRCONDOSMSAMID
2016-09-01,204347.74099061885
2016-10-01,205284.14257579917
2016-11-01,206320.9092964308
2016-12-01,207415.76542433715
2017-01-01,208512.04554097424
2017-02-01,209659.44183133394
2017-03-01,210840.81490271608
2017-04-01,212124.43457950628
2017-05-01,213266.78261413137
2017-06-01,214337.3447844536
2017-07-01,215250.1100950071
2017-08-01,216185.51628032982
2017-09-01,217159.40685847015
2017-10-01,218270.82445730094
2017-11-01,219468.62239150668
2017-12-01,220722.13922403683
2018-01-01,221962.25377169997
2018-02-01,223166.4163123013
2018-03-01,224559.346258381
2018-04-01,225827.6626859534
2018-05-01,227059.74318365438
2018-06-01,227953.79099828305
2018-07-01,229086.31235646972
2018-08-01,230172.3685238552
2018-09-01,231271.42583808335
2018-10-01,232027.1691196674
2018-11-01,232786.73354344512
2018-12-01,233598.47755871984
2019-01-01,234577.6395561782
2019-02-01,235714.04931000236
2019-03-01,236914.87157086784
2019-04-01,237985.88424880442
2019-05-01,238784.35504206162
2019-06-01,239486.0206990946
2019-07-01,240132.03722666818
2019-08-01,240842.09227262266
2019-09-01,241467.51860031058
2019-10-01,242338.64392706458
2019-11-01,243524.18035866893
2019-12-01,244918.21738544686
2020-01-01,246453.19925718443
2020-02-01,247953.29174961502
2020-03-01,249513.8524669516
2020-04-01,250850.08481655584
2020-05-01,251602.2268939426
2020-06-01,252025.6552548078
2020-07-01,252704.82153535998
2020-08-01,254332.41250157097
2020-09-01,257127.80355890832
2020-10-01,260542.38016771656
2020-11-01,264404.1431507425
2020-12-01,268167.9062168102
2021-01-01,271787.7795402159
2021-02-01,275488.05436353787
2021-03-01,279350.4392915314
2021-04-01,283574.6522945273
2021-05-01,288260.81937267544
2021-06-01,293300.666561151
2021-07-01,297824.49195410986
2021-08-01,301039.3270619967
2021-09-01,303001.46280440124
2021-10-01,304924.5916157383
2021-11-01,307531.7240545017
2021-12-01,310744.8402123915
2022-01-01,315165.34917781217
2022-02-01,320459.7778315242
2022-03-01,326684.6416934474
2022-04-01,332906.08135571855
2022-05-01,338465.57453942107
2022-06-01,343112.6648168762
2022-07-01,345554.7897064216
2022-08-01,345926.5241798376
2022-09-01,344657.32559725124
2022-10-01,343436.86096035247
2022-11-01,342434.79672034754
2022-12-01,341524.6868173335
2023-01-01,340331.9653608192
2023-02-01,339460.29072258
2023-03-01,339398.680891892
2023-04-01,340364.87194774224
2023-05-01,341993.734727369
2023-06-01,343935.026591026
2023-07-01,345686.2161423044
2023-08-01,347311.24509518035
2023-09-01,348538.96187668917
